Transaction_ID,Date_Created,Subscription_Type,Negotiation_Success_Prob,User_Feedback, Monthly_Fee_USD 
TRX-8389,06/08/2025,internet provider,,Stop charging me., $46.38 
TRX-72723,03/01/2026,internet provider,0.0085,Spaces at the beginning, $69.42 
TRX-48870,03/01/2026,cloud storage,0.9,, $109.74 
TRX-99719,,cloud storage,0.9,Negotiation needed ASAP, $111.49 
TRX-15317,,netflix,0.55525917,Negotiation needed ASAP, $44.83 
TRX-10029,,internet provider,0.0085,Negotiation needed ASAP, $46.38 
TRX-11543,,cloud storage,0.9,, $36.12 
TRX-69893,,electricity bill,0.0085,Spaces at the beginning, $59.95 
TRX-86396,,internet provider,0.051867745,Stop charging me., $46.38 
TRX-20459,07/05/2025,netflix,,Spaces at the beginning, $8.63 
TRX-33126,,internet provider,0.9,It's too expensive!!!, $7.97 
TRX-69647,10/07/2025,netflix,,Stop charging me., $4.20 
TRX-85293,,electricity bill,0.0085,Stop charging me., $12.58 
TRX-72111,03/01/2026,electricity bill,,It's too expensive!!!, $3.46 
TRX-37492,,cloud storage,0.151249635,Spaces at the beginning, $10.82 
TRX-4540,,cloud storage,0.9,, $43.01 
TRX-45758,,netflix,,Stop charging me., $8.75 
TRX-28955,,electricity bill,0.690912088,Negotiation needed ASAP, $5.33 
TRX-2439,,gym membership,0.9,, $146.02 
TRX-50098,,cloud storage,,, $57.80 
TRX-43893,,internet provider,0.736161993,, $46.38 
TRX-36293,,cloud storage,0.029950337,, $13.25 
TRX-38075,04/05/2026,electricity bill,,Negotiation needed ASAP, $12.76 
TRX-5514,,internet provider,0.9,It's too expensive!!!, $128.09 
TRX-52171,,cloud storage,0.9,, $43.01 
TRX-3764,,electricity bill,0.0085,It's too expensive!!!, $38.51 
TRX-11413,03/01/2026,spotify,0.9,, $15.79 
TRX-6233,,internet provider,0.9,Stop charging me., $70.33 
TRX-49270,03/01/2026,gym membership,,Stop charging me., $46.46 
TRX-3347,,cloud storage,0.9,Negotiation needed ASAP, $43.01 
TRX-63231,03/01/2026,cloud storage,,Spaces at the beginning, $91.82 
TRX-58945,,spotify,0.0085,, $8.52 
TRX-74967,,electricity bill,0.610811644,Spaces at the beginning, $4.17 
TRX-24244,,internet provider,0.0085,It's too expensive!!!, $46.38 
TRX-90867,,cloud storage,0.0085,, $10.44 
TRX-76350,,electricity bill,,, $116.35 
TRX-4096,03/01/2026,cloud storage,,, $75.60 
TRX-61756,,internet provider,0.899193972,Spaces at the beginning, $46.38 
TRX-90503,08/05/2025,netflix,,It's too expensive!!!, $8.24 
TRX-53858,03/01/2026,netflix,,Stop charging me., $12.82 
TRX-89000,,internet provider,0.0085,Negotiation needed ASAP, $46.38 
TRX-71109,03/01/2026,gym membership,0.9,Negotiation needed ASAP, $103.34 
TRX-14497,03/01/2026,spotify,0.9,, $45.16 
TRX-18740,03/01/2026,internet provider,0.174870567,It's too expensive!!!, $91.04 
TRX-70985,,gym membership,,, $3.57 
TRX-39224,,gym membership,0.231418827,Negotiation needed ASAP, $138.90 
TRX-81817,,cloud storage,0.0085,Stop charging me., $83.65 
TRX-28147,,spotify,0.0085,It's too expensive!!!, $10.22 
TRX-51850,04/08/2025,gym membership,0.0085,Stop charging me., $8.86 
TRX-43170,03/01/2026,electricity bill,0.880552631,Stop charging me., $12.12 
TRX-66370,03/01/2026,internet provider,,Negotiation needed ASAP, $5.19 
TRX-1882,03/01/2026,cloud storage,0.0085,Spaces at the beginning, $29.60 
TRX-36191,,spotify,0.9,Stop charging me., $5.70 
TRX-40476,10/06/2025,netflix,0.358580833,Stop charging me., $86.46 
TRX-26475,03/01/2026,spotify,0.28609397,Negotiation needed ASAP, $34.55 
TRX-69298,07/07/2025,cloud storage,,It's too expensive!!!, $11.00 
TRX-76920,,spotify,0.9,, $145.93 
TRX-48339,,electricity bill,0.9,It's too expensive!!!, $16.83 
TRX-64211,,netflix,0.9,Stop charging me., $17.70 
TRX-89261,,internet provider,,It's too expensive!!!, $57.85 
TRX-17732,,netflix,0.0085,It's too expensive!!!, $88.78 
TRX-83373,,netflix,0.9,Stop charging me., $44.83 
TRX-24155,,spotify,0.9,Negotiation needed ASAP, $45.16 
TRX-48604,,electricity bill,0.0085,, $29.56 
TRX-26962,,cloud storage,0.176254635,Stop charging me., $54.05 
TRX-18743,,netflix,,Negotiation needed ASAP, $44.83 
TRX-18760,03/01/2026,cloud storage,,Spaces at the beginning, $88.25 
TRX-17758,,cloud storage,0.0085,, $9.66 
TRX-50202,02/08/2026,netflix,,Stop charging me., $44.83 
TRX-3347,,cloud storage,0.0085,Negotiation needed ASAP, $47.99 
TRX-41570,,spotify,0.501037843,Negotiation needed ASAP, $45.16 
TRX-60954,,cloud storage,,Stop charging me., $115.80 
TRX-17595,03/01/2026,gym membership,0.9,Negotiation needed ASAP, $9.80 
TRX-97288,,cloud storage,0.6581739,Negotiation needed ASAP, $135.73 
TRX-67860,,cloud storage,0.0085,Negotiation needed ASAP, $8.87 
