Transaction_ID,Date_Created,Subscription_Type,Monthly_Fee,Negotiation_Success_Prob,User_Feedback,Monthly_Fee_USD,Monthly_Fee_Naira,Is_Prob_Imputed,Is_Date_Missing,Date_Created_Clean,Is_Outlier,Expected_Savings_USD,Priority_Score,Sentiment_Category,Cumulative_Savings,Cumulative_Percentage
TRX-98046,2025-05-19,internet provider,146.94326271554,0.9863973170481404,It's too expensive!!!,146.94326271554,220414.89407331,0,0,1900-01-01,1,144.94444010090868,Critical,Pricing Complaint,144.94444010090868,0.09754301276950991
TRX-28064,2026-03-01,internet provider,148.8285436344255,0.9713034146389602,It's too expensive!!!,148.8285436344255,223242.81545163825,0,0,2026-01-03,1,144.55767262786097,Critical,Pricing Complaint,289.50211272876965,0.19482574329200117
TRX-19110,27/07/2025,netflix,142.2818901639934,0.9951565394519667,Stop charging me.,142.2818901639934,213422.8352459901,0,0,1900-01-01,1,141.5927534422845,Critical,Churn Risk,431.09486617105415,0.2901131772044403
TRX-69843,2026-03-01,netflix,$143.91,0.9818888610853458,    Spaces at the beginning,143.91,215865.0,0,0,2026-01-03,1,141.3036259987921,Critical,General Inquiry,572.3984921698462,0.38520603751410465
TRX-24038,30/01/2026,cloud storage,141.3151855617841,0.9930373135608986,Stop charging me.,141.3151855617841,211972.77834267615,0,0,1900-01-01,1,140.33125223563397,Critical,Churn Risk,712.7297444054802,0.47964452110997147
TRX-23663,2026-03-01,gym membership,$143.14,0.9725628062535729,Negotiation needed ASAP,143.14,214709.99999999997,0,0,2026-01-03,1,139.2126400871364,Critical,General Inquiry,851.9423844926166,0.5733302141951496
TRX-51652,2025-09-06,gym membership,$146.94,0.9381039014781765,,146.94,220410.0,0,0,2025-06-09,1,137.84498728320324,Critical,General Inquiry,989.7873717758198,0.6660955203042878
TRX-71776,,gym membership,148.0287116625613,0.913817795258601,Stop charging me.,148.0287116625613,222043.06749384195,0,1,1900-01-01,1,135.27127092645293,Critical,Churn Risk,1125.0586427022727,0.7571287969042096
TRX-93232,,internet provider,$149.95,0.9,    Spaces at the beginning,149.95,224924.99999999997,0,1,1900-01-01,1,134.95499999999998,Critical,General Inquiry,1260.0136427022726,0.8479492331978999
TRX-36260,27/12/2025,internet provider,149.4965744668328,0.9,Stop charging me.,149.4965744668328,224244.86170024922,0,0,1900-01-01,1,134.54691702014952,Critical,Churn Risk,1394.560559722422,0.9384950425842951
TRX-39906,09/04/2025,internet provider,$149.48,0.9,Stop charging me.,149.48,224219.99999999997,0,0,1900-01-01,1,134.53199999999998,Critical,Churn Risk,1529.092559722422,1.0290308132890689
TRX-94759,2026-03-01,electricity bill,149.4776230647025,0.9,Stop charging me.,149.4776230647025,224216.43459705374,0,0,2026-01-03,1,134.52986075823225,Critical,Churn Risk,1663.6224204806542,1.1195651443519572
TRX-62285,28/08/2025,netflix,149.4740705667684,0.9,,149.4740705667684,224211.1058501526,0,0,1900-01-01,1,134.52666351009157,Critical,General Inquiry,1798.1490839907458,1.2100973237682144
TRX-96393,2026-03-01,gym membership,$149.32,0.9,It's too expensive!!!,149.32,223980.0,0,0,2026-01-03,1,134.388,Critical,Pricing Complaint,1932.5370839907457,1.3005361870384635
TRX-57399,2026-03-01,netflix,149.2272215265291,0.9,It's too expensive!!!,149.2272215265291,223840.83228979365,0,0,2026-01-03,1,134.30449937387618,Critical,Pricing Complaint,2066.841583364622,1.3909188570346926
TRX-79608,,netflix,137.7748958993097,0.9722513756341251,Stop charging me.,137.7748958993097,206662.34384896458,0,1,1900-01-01,1,133.95183206595226,Critical,Churn Risk,2200.793415430574,1.4810641931138964
TRX-26087,2025-12-25,netflix,$148.78,0.9,Stop charging me.,148.78,223170.0,0,0,1900-01-01,1,133.90200000000002,Critical,Churn Risk,2334.695415430574,1.5711759937926242
TRX-76981,2026-03-01,cloud storage,$148.60,0.9,,148.6,222900.0,0,0,2026-01-03,1,133.74,Critical,General Inquiry,2468.435415430574,1.661178773607512
TRX-64918,2026-03-01,electricity bill,148.5430856348511,0.9,,148.5430856348511,222814.62845227667,0,0,2026-01-03,1,133.688777071366,Critical,General Inquiry,2602.12419250194,1.7511470820154358
TRX-54332,01/11/2025,gym membership,$148.49,0.9,    Spaces at the beginning,148.49,222735.0,0,0,1900-01-01,1,133.64100000000002,Critical,General Inquiry,2735.76519250194,1.8410832379690878
TRX-7523,,cloud storage,$148.37,0.9,,148.37,222555.0,0,1,1900-01-01,1,133.53300000000002,Critical,General Inquiry,2869.29819250194,1.9309467133468459
TRX-60793,2025-05-29,spotify,$148.36,0.9,Negotiation needed ASAP,148.36,222540.00000000003,0,0,1900-01-01,1,133.52400000000003,Critical,General Inquiry,3002.8221925019398,2.0208041320099466
TRX-18824,2026-03-01,gym membership,$148.23,0.9,It's too expensive!!!,148.23,222344.99999999997,0,0,2026-01-03,1,133.40699999999998,Critical,Pricing Complaint,3136.22919250194,2.1105828133824955
TRX-96569,2026-03-01,spotify,139.3130452484347,0.956992549364764,Negotiation needed ASAP,139.3130452484347,208969.56787265203,0,0,2026-01-03,1,133.32154633206824,Critical,General Inquiry,3269.5507388340084,2.200303987145809
TRX-32221,24/04/2025,electricity bill,$147.85,0.9,    Spaces at the beginning,147.85,221775.0,0,0,1900-01-01,1,133.065,Critical,General Inquiry,3402.6157388340084,2.2898525133613616
TRX-67621,,spotify,147.7449830164018,0.9,Negotiation needed ASAP,147.7449830164018,221617.47452460267,0,1,1900-01-01,1,132.97048471476162,Critical,General Inquiry,3535.5862235487702,2.3793374337865267
TRX-20151,2025-04-29,cloud storage,147.738664482256,0.9,    Spaces at the beginning,147.738664482256,221607.996723384,0,0,1900-01-01,1,132.96479803403042,Critical,General Inquiry,3668.551021582801,2.4688185272558543
TRX-50657,25/03/2026,electricity bill,$147.72,0.9,,147.72,221580.0,0,0,1900-01-01,1,132.948,Critical,General Inquiry,3801.4990215828007,2.5582883161808554
TRX-58901,2026-03-01,internet provider,147.7005171185567,0.9,    Spaces at the beginning,147.7005171185567,221550.77567783504,0,0,2026-01-03,1,132.93046540670102,Critical,General Inquiry,3934.4294869895016,2.6477463048804952
TRX-74413,2026-01-16,netflix,$147.65,0.9,It's too expensive!!!,147.65,221475.0,0,0,1900-01-01,1,132.88500000000002,Critical,Pricing Complaint,4067.314486989502,2.737173696802892
TRX-32323,2026-03-01,cloud storage,147.5425622977352,0.9,Stop charging me.,147.5425622977352,221313.8434466028,0,0,2026-01-03,1,132.78830606796168,Critical,Churn Risk,4200.102793057464,2.8265360167746785
TRX-38201,2026-03-01,internet provider,147.5413032645804,0.9,Negotiation needed ASAP,147.5413032645804,221311.9548968706,0,0,2026-01-03,1,132.78717293812235,Critical,General Inquiry,4332.889965995586,2.9158975741860083
TRX-72466,2026-01-23,spotify,$147.43,0.9,    Spaces at the beginning,147.43,221145.0,0,0,1900-01-01,1,132.687,Critical,General Inquiry,4465.576965995586,3.0051917183859334
TRX-13698,2025-09-16,spotify,147.4081415648831,0.9,,147.4081415648831,221112.21234732465,0,0,1900-01-01,1,132.66732740839478,Critical,General Inquiry,4598.244293403981,3.0944726235554216
TRX-31712,2025-05-21,gym membership,$147.39,0.9,Negotiation needed ASAP,147.39,221084.99999999997,0,0,1900-01-01,1,132.65099999999998,Critical,General Inquiry,4730.895293403981,3.1837425408967155
TRX-31841,2026-03-01,spotify,$147.39,0.9,Negotiation needed ASAP,147.39,221084.99999999997,0,0,2026-01-03,1,132.65099999999998,Critical,General Inquiry,4863.546293403981,3.2730124582380093
TRX-69686,2025-10-10,spotify,147.3613344260413,0.9,,147.3613344260413,221042.00163906196,0,0,2025-10-10,1,132.6252009834372,Critical,General Inquiry,4996.171494387418,3.362265013659106
TRX-69422,20/05/2025,spotify,$136.57,0.9703535398474464,    Spaces at the beginning,136.57,204855.0,0,0,1900-01-01,1,132.52118293696574,Critical,General Inquiry,5128.692677324383,3.451447568232788
TRX-7392,2025-07-23,cloud storage,$146.75,0.9,    Spaces at the beginning,146.75,220125.0,0,0,1900-01-01,1,132.07500000000002,Critical,General Inquiry,5260.767677324383,3.5403298558359824
TRX-44124,,internet provider,$146.51,0.9,It's too expensive!!!,146.51,219765.0,0,1,1900-01-01,1,131.859,Critical,Pricing Complaint,5392.626677324383,3.6290667822873908
TRX-88197,2026-01-02,spotify,144.8202116798957,0.9098419825233589,    Spaces at the beginning,144.8202116798957,217230.31751984355,0,0,2026-02-01,1,131.76350850428878,Critical,General Inquiry,5524.390185828672,3.717739445989712
TRX-2439,08/08/2025,gym membership,$146.02,0.9,,146.02,219030.00000000003,0,0,1900-01-01,1,131.418,Critical,General Inquiry,5655.808185828671,3.806179593422888
TRX-76920,04/06/2025,spotify,145.9265678731296,0.9,,145.9265678731296,218889.85180969443,0,0,1900-01-01,1,131.33391108581665,Critical,General Inquiry,5787.142096914488,3.894563151682831
TRX-14669,22/11/2025,spotify,145.829927918047,0.9,    Spaces at the beginning,145.829927918047,218744.89187707048,0,0,1900-01-01,1,131.2469351262423,Critical,General Inquiry,5918.389032040731,3.9828881778795266
TRX-33879,2025-08-05,electricity bill,145.7288271791307,0.9,It's too expensive!!!,145.7288271791307,218593.24076869604,0,0,2025-05-08,1,131.15594446121762,Critical,Pricing Complaint,6049.544976501948,4.071151970243491
TRX-43517,2025-05-07,gym membership,$145.68,0.9,    Spaces at the beginning,145.68,218520.0,0,0,2025-07-05,1,131.11200000000002,Critical,General Inquiry,6180.6569765019485,4.159386189378302
TRX-68066,23/01/2026,netflix,$145.53,0.9,It's too expensive!!!,145.53,218295.0,0,0,1900-01-01,1,130.977,Critical,Pricing Complaint,6311.633976501948,4.247529557793245
TRX-61490,14/04/2025,cloud storage,145.3716045000667,0.9,Negotiation needed ASAP,145.3716045000667,218057.40675010005,0,0,1900-01-01,1,130.83444405006003,Critical,General Inquiry,6442.468420552008,4.33557699057357
TRX-85709,2025-04-21,gym membership,145.3048553588509,0.9,Negotiation needed ASAP,145.3048553588509,217957.28303827633,0,0,1900-01-01,1,130.7743698229658,Critical,General Inquiry,6573.242790374974,4.423583995303697
TRX-1829,2026-01-13,cloud storage,145.2485006460517,0.9,Stop charging me.,145.2485006460517,217872.75096907755,0,0,1900-01-01,1,130.72365058144652,Critical,Churn Risk,6703.96644095642,4.511556867592318
TRX-21120,27/05/2025,gym membership,$145.19,0.9,Negotiation needed ASAP,145.19,217785.0,0,0,1900-01-01,1,130.671,Critical,General Inquiry,6834.6374409564205,4.5994943077088974
TRX-13017,27/10/2025,spotify,145.1848860996393,0.9,,145.1848860996393,217777.32914945894,0,0,1900-01-01,1,130.66639748967538,Critical,General Inquiry,6965.303838446096,4.687428650481948
TRX-98566,,gym membership,144.9169479361262,0.9,It's too expensive!!!,144.9169479361262,217375.4219041893,0,1,1900-01-01,1,130.42525314251358,Critical,Pricing Complaint,7095.72909158861,4.775200710754766
TRX-14109,2026-02-15,netflix,$144.90,0.9,Stop charging me.,144.9,217350.0,0,0,1900-01-01,1,130.41,Critical,Churn Risk,7226.1390915886095,4.862962506146268
TRX-97406,2026-03-01,spotify,$144.84,0.9,    Spaces at the beginning,144.84,217260.0,0,0,2026-01-03,1,130.356,Critical,General Inquiry,7356.495091588609,4.950687961249823
